word,count
un,76
ir,24
vēl,22
tik,21
tu,21
bet,15
kas,15
nav,14
man,14
par,13
kā,13
kur,13
lai,13
pēc,11
ar,11
tev,11
kam,11
tie,10
ka,10
uz,10
reiz,10
būs,9
es,9
viss,9
no,9
pie,9
tur,9
vai,9
kad,8
tad,8
līdz,8
cik,7
mums,7
sauc,6
ja,6
bij,6
tās,6
iet,6
gars,6
projām,6
gan,5
laiks,5
sirds,5
nu,5
jau,5
tā,5
tomēr,5
likumīgi,5
dzīves,5
iedzer,5
tos,4
tiek,4
iz,4
sev,4
daudz,4
vaigs,4
kājām,4
pasaules,4
bija,4
kaut,4
sāpes,4
tagad,4
prāts,4
tas,4
tikumīgi,4
jo,4
nevar,4
nekas,4
vien,4
maizes,3
zemes,3
spēks,3
citiem,3
laimes,3
rauj,3
debesu,3
zem,3
varmākas,3
kopā,3
dienas,3
bēdas,3
tiem,3
dzīvības,3
domāju,3
laime,3
ko,3
kājas,3
dzīve,3
labāk,3
iekšā,3
bēdu,3
dzied,3
alu,3
nāves,3
katru,3
drīz,3
viņu,3
tam,3
it,3
te,3
pasaulē,3
dzīvo,3
strādā,3
to,3
naudas,3
stingri,3
cieti,3
būtu,3
labi,3
sevi,3
dzejām,3
svēts,3
dzīvi,3
cerības,3
asins,3
tikai,3
laimi,3
brāli,3
viņas,3
bez,3
laid,3
pa,3
dievības,3
mērķis,3
mosties,3
zemē,3
dzīvē,2
nomāc,2
virs,2
dar,2
grēks,2
sēž,2
nost,2
plēš,2
labāki,2
otram,2
priecīgs,2
ikkatris,2
vēders,2
pilns,2
tai,2
cerību,2
taisnību,2
dzejas,2
būt,2
ik,2
tevim,2
jūt,2
varmāku,2
brāļi,2
mierināt,2
ticības,2
priekus,2
domas,2
mani,2
nekāda,2
nauda,2
kamēr,2
dvēseles,2
ne,2
dos,2
nāve,2
nekā,2
gals,2
balss,2
redzu,2
desmit,2
vienu,2
alus,2
žēl,2
mūžam,2
dumjš,2
sirdi,2
viņam,2
uzsauc,2
kāju,2
sviedām,2
dusmas,2
tādēļ,2
cilvēku,2
krāj,2
nolād,2
cita,2
dieviņam,2
rokas,2
muļķus,2
brīvības,2
jaudas,2
godu,2
var,2
tevi,2
vari,2
palīgsmoties,2
pamieloties,2
paņemt,2
sievu,2
padevīgu,2
tuklu,2
dumju,2
paklausīgu,2
papriecāties,2
radīt,2
bērnus,2
velti,2
beidzies,2
cilvēks,2
mūsu,2
dot,2
ceļ,2
ies,2
slava,2
bars,2
citi,2
lietas,2
dieva,2
neredz,2
vietā,2
tiksi,2
katris,2
mērķa,2
dzīvei,2
izrādās,2
galā,2
daiļš,2
zinību,2
prieks,2
skrien,2
kapā,2
lien,2
prātu,2
kaudzes,2
zied,2
tumšajā,2
lejām,2
jādzīvo,2
rimšanas,2
vergi,2
lietām,2
pats,2
valdnieks,2
malas,2
dzīvību,2
labs,2
pasauls,2
raizes,2
ikkatram,2
mūžības,2
cilvēka,2
jātic,2
likteņa,2
tāļāk,2
nāks,2
labprāt,2
tīkas,2
bučoties,2
ideāliem,1
cenšas,1
lielie,1
gari,1
ieņemt,1
vietu,1
pirmie,1
neiespēj,1
kari,1
aizspriedumi,1
sirmie,1
taisnības,1
dūrei,1
varmākām,1
skādi,1
nosaukts,1
tiesnešiem,1
cienīti,1
blēži,1
godīgie,1
ādu,1
cienīgs,1
tēvs,1
zaglis,1
teic,1
sprediķus,1
pacieties,1
debesīs,1
zvēru,1
pulks,1
bļauj,1
viens,1
mutes,1
maizi,1
bērni,1
veseli,1
dzīvoklis,1
silts,1
glaimojot,1
salkušie,1
rakstnieki,1
praktiska,1
tauta,1
jā,1
nosirmos,1
redzams,1
strādnieku,1
moku,1
liekēži,1
slinkos,1
godīgi,1
krāps,1
viltības,1
ļaudis,1
slāps,1
mīs,1
kaujamiem,1
lopiem,1
cilvēkus,1
dzīs,1
muļķīgas,1
dzejnieki,1
kals,1
vaimanās,1
paši,1
salks,1
sals,1
šīs,1
varenajiem,1
varēji,1
valdīt,1
kārumu,1
baudīt,1
līgsmot,1
cilvēces,1
trūkumus,1
tumsības,1
slogus,1
nastas,1
ikvienas,1
tēvijas,1
neatzīts,1
svešumā,1
dodies,1
tāļi,1
sludini,1
māci,1
cilvēki,1
mantas,1
nespēj,1
prāta,1
trūkst,1
mīlestīb,1
sirdīs,1
krāta,1
nesi,1
tumsībā,1
grūtībā,1
smaka,1
vārguļu,1
sagrauztām,1
sirdīm,1
aka,1
cilvēci,1
sildīji,1
garīgās,1
verdzības,1
salnā,1
atmaksu,1
cilvēce,1
deva,1
golgatas,1
kalnā,1
dziļas,1
kādēļ,1
nīd,1
daru,1
viļas,1
visās,1
vietās,1
slīd,1
citam,1
darba,1
gaisa,1
birst,1
sūra,1
skarba,1
jābadojas,1
mirst,1
graša,1
prasi,1
kādam,1
vienreiz,1
aša,1
nabagos,1
ezers,1
lejā,1
spīd,1
netāļi,1
raizēm,1
ardievu,1
neskanēs,1
vairs,1
mana,1
ceļš,1
garām,1
ved,1
gar,1
krogu,1
danco,1
smej,1
caur,1
apgaismoto,1
logu,1
glāzēs,1
lej,1
tīri,1
bešā,1
roka,1
ātri,1
svārkos,1
ķer,1
kapeikas,1
ķešā,1
pirms,1
jānodzer,1
steidzos,1
glāzi,1
iesviežu,1
lāsi,1
paliek,1
atliks,1
miršanu,1
rītu,1
šodien,1
vēlu,1
staigāt,1
turp,1
krodzniek,1
dosi,1
krītu,1
došu,1
duci,1
šurp,1
otrreiz,1
tāda,1
liga,1
skaistule,1
solījās,1
būšot,1
uzticīga,1
sievām,1
paļaujas,1
pilsētas,1
švīts,1
nāca,1
glumi,1
apģērbts,1
uzķemmēts,1
lakstoties,1
ap,1
sāca,1
dāvā,1
rotas,1
lēts,1
neatļausies,1
neatdos,1
nejauši,1
klausies,1
baznīcā,1
asinis,1
dusmās,1
vārās,1
spiež,1
atriebšanas,1
kāras,1
dūres,1
naža,1
spalu,1
griež,1
jāmirst,1
steigšus,1
gāju,1
draugs,1
iesviedīsim,1
ceļa,1
nāc,1
kabaku,1
rīts,1
ausa,1
aizmirsts,1
rūpes,1
galva,1
knapi,1
klausa,1
zudušas,1
reizi,1
iedzeru,1
slikts,1
greizi,1
nava,1
nekāds,1
prātīgu,1
skudras,1
rūpīgi,1
sīvo,1
smiltis,1
klāj,1
godīgu,1
manīgi,1
nopelnu,1
slauc,1
manšetēm,1
baltām,1
apkakli,1
stīvo,1
drūzmā,1
valdnieki,1
brauc,1
ticīgo,1
muļķu,1
visvairāk,1
radīts,1
galviņas,1
nodur,1
tic,1
tāds,1
laiza,1
sists,1
badīts,1
pateic,1
piekrāpj,1
cits,1
ārprātīgie,1
ceturtā,1
suga,1
diemžēl,1
visai,1
nedaudz,1
ķeras,1
šī,1
luga,1
gaismas,1
ej,1
dzenies,1
krāp,1
blēdī,1
dabū,1
skaties,1
savu,1
labu,1
apdomīgi,1
valdniekiem,1
rādi,1
kādi,1
bagātniekus,1
turi,1
cieņā,1
līdzēt,1
ļaunā,1
dienā,1
vieta,1
grunte,1
droša,1
cieta,1
cienīs,1
klanīdamies,1
strādās,1
lādēdamies,1
valdīsi,1
dārgo,1
laiku,1
tērē,1
papīri,1
smērē,1
sen,1
laikmets,1
brēc,1
prozaiskās,1
dienās,1
žēlabainām,1
cieņas,1
ēst,1
salkušam,1
paēdis,1
nesaprot,1
raksti,1
romānīšus,1
vieglus,1
saprātīgi,1
zobojies,1
plašai,1
publikai,1
smieklus,1
redzēsi,1
liela,1
kaudzēm,1
baudīsi,1
latviešiem,1
dzejnieku,1
milzīgs,1
tiesas,1
dodam,1
šo,1
vārdu,1
dzejās,1
mīt,1
burvības,1
miegu,1
dāvina,1
gārdu,1
gribi,1
tikt,1
labas,1
vietas,1
klanies,1
lokies,1
laizi,1
kauna,1
nāk,1
maize,1
bagātnieku,1
lepniem,1
galdiem,1
pazemīgi,1
klātu,1
lieni,1
glaimošanas,1
vārdiem,1
saldiem,1
spējas,1
cieni,1
dēļ,1
zemākajiem,1
nekad,1
min,1
virsū,1
vājiem,1
prātīgs,1
gādā,1
augstā,1
slavēs,1
teiks,1
lielu,1
garu,1
līdzbiedrus,1
liksi,1
bīsies,1
tavu,1
varu,1
gudro,1
gudrodams,1
atrast,1
visi,1
ideāļi,1
tuvāk,1
apskatot,1
tārpiem,1
izēsti,1
galu,1
jāpaliek,1
lopam,1
nedomā,1
ēšanu,1
jeb,1
pesimistam,1
vēstule,1
e,1
treimanimzvārgulim,1
1890,1
gada,1
5,1
jūlijā,1
zaļoja,1
jaunība,1
plauka,1
karsta,1
gaišs,1
pasaule,1
visa,1
krāšņa,1
jauka,1
nākotne,1
spoža,1
saules,1
aizgāja,1
zuda,1
dūmi,1
mira,1
agrāk,1
dievīgie,1
tēli,1
bāli,1
drūmi,1
dīdzis,1
ticībā,1
sēts,1
tukšām,1
paliekot,1
slāpēm,1
beidzoties,1
visam,1
pildījās,1
nāvīgām,1
asiņu,1
sāpēm,1
pagātne,1
arī,1
sedz,1
nicinu,1
murgi,1
nieks,1
pret,1
nelaimi,1
krūtis,1
cietas,1
gluži,1
vienalga,1
ātrām,1
mūža,1
tumšām,1
mājām,1
laiki,1
grūti,1
ērkšķi,1
nikni,1
dur,1
mazāk,1
jūti,1
jaunu,1
bur,1
nodzer,1
muļķis,1
krātu,1
gudrais,1
ellē,1
veļ,1
grāmatu,1
šķirsti,1
mirušās,1
audzes,1
pētī,1
mirsti,1
nieki,1
baro,1
prieki,1
gaišāki,1
staro,1
gulbji,1
balti,1
padebeši,1
vēlētos,1
līdza,1
tāļu,1
skriet,1
tāļumā,1
ziemas,1
nepazīst,1
rozes,1
nenovīst,1
veltīgi,1
laimību,1
kāro,1
met,1
saulainām,1
mirstīgais,1
šķirsts,1
asaru,1
dūksnājā,1
slapjā,1
dzelži,1
cirvji,1
klaudz,1
pārtikas,1
kauc,1
stiprākā,1
samīts,1
vājāks,1
lūst,1
sviedri,1
plūst,1
prātīgas,1
nozīme,1
tīrās,1
muļķības,1
blandās,1
gudrām,1
spriedelē,1
dievs,1
visaugstākais,1
tuvākais,1
tiklīdz,1
izsalcis,1
atriebies,1
apnicis,1
kavējies,1
dzīvajos,1
lode,1
likteni,1
šķir,1
droši,1
nebūs,1
šis,1
niecīgais,1
muļķīgais,1
šeit,1
ielīgsmot,1
nebūsi,1
mīdīts,1
bīdīts,1
žēlo,1
nespēsi,1
jāiet,1
ziņas,1
dzīvība,1
verdzībā,1
žūs,1
stars,1
aklajai,1
vistai,1
grauds,1
atrastos,1
tavs,1
nīcību,1
drūmīgi,1
nīkt,1
izputēt,1
nolemts,1
beigties,1
pasteidzies,1
drīzāki,1
steigties,1
nicināju,1
nevajaga,1
joks,1
visu,1
smejies,1
raud,1
vaid,1
pakavējies,1
netīk,1
citām,1
malām,1
vienā,1
sasmok,1
galam,1
atradis,1
spārni,1
īsi,1
guli,1
liktens,1
sien,1
gaidi,1
nāvi,1
paradīzi,1
paliec,1
vājš,1
bedrē,1
kuļos,1
pliks,1
nātrēm,1
moca,1
nakt,1
dien,1
vējam,1
ātram,1
ziedons,1
tumsība,1
skatās,1
aukstums,1
visur,1
ak,1
visas,1
platās,1
neviens,1
senatnē,1
vīri,1
liktenis,1
rūpestus,1
nedarīja,1
mierīgs,1
zokratam,1
palika,1
trakoja,1
vētra,1
skaists,1
pār,1
dabu,1
vara,1
sirdī,1
spožums,1
gara,1
īsts,1
filozofs,1
pesimists,1
jautri,1
bauda,1
priecājas,1
jauda,1
mieži,1
laukos,1
kupli,1
briest,1
netrūkst,1
daiļas,1
skuķes,1
patīk,1
ciest,1
guļu,1
puķēs,1
neesmu,1
dubļos,1
dziļi,1
stidzis,1
atgriezties,1
labākam,1
gaišums,1
nīcis,1
dvēsele,1
augstākas,1
iegribas,1
uzdevums,1
grūtības,1
nest,1
mūs,1
radot,1
spriedis,1
nevienam,1
atļauts,1
prom,1
mest,1
dzīvojot,1
raudājis,1
cietis,1
augstāks,1
aiz,1
zvaigznēm,1
sprausts,1
šaubās,1
šaubīsies,1
jaunam,1
līķa,1
palags,1
austs,1
asarās,1
paliekam,1
skumdināti,1
nekrīt,1
mats,1
nezina,1
acs,1
nemirstīgs,1
ziedēs,1
pavasars,1
raižu,1
grūtību,1
niknajos,1
karos,1
līgsmībā,1
staros,1
divdesmit,1
gadus,1
lugai,1
pienācis,1
slinkojis,1
centies,1
trūdēt,1
sapņots,1
mūžīgām,1
slavu,1
kapa,1
grib,1
laurus,1
liek,1
lauri,1
gods,1
iznīkst,1
atkal,1
rit,1
šausmīgais,1
rats,1
skumjību,1
sviedīšu,1
tumšo,1
beigšu,1
ilgoties,1
iesākšu,1
ticēt,1
zilumā,1
spīguļo,1
zvaigznes,1
mūžīgā,1
kārtībā,1
kustas,1
drūmajos,1
viļņos,1
valda,1
īss,1
sprīdis,1
tuvu,1
šūpuliskaps,1
svara,1
brīdis,1
laba,1
skumjība,1
strādāšu,1
centīšos,1
labošu,1
pagātnes,1
riebīgās,1
pēdas,1
atpakaļ,1
svabadais,1
celies,1
salauzi,1
kalpības,1
spaidus,1
atpestī,1
cietējus,1
klusini,1
vaidus,1
cēlajais,1
tumšos,1
triec,1
svētos,1
bizuļusgarīdzniekus,1
kuri,1
melš,1
krāpdami,1
niekus,1
māņus,1
liec,1
kungus,1
lepnībā,1
šķērdīgi,1
putina,1
miljonu,1
sviedrus,1
kundzības,1
draugus,1
biedrus,1
savus,1
brāļus,1
spaida,1
klusā,1
naktī,1
lakstīgalas,1
klausīties,1
daiļām,1
meitenēm,1
izrauties,1
ķibelēm,1
vairāk,1
tīk,1
lodes,1
kaujā,1
brīvie,1
skaņas,1
dziesmas,1
atskan,1
trokšņainas,1
peklē,1
gāžas,1
lepnie,1
staigājot,1
košām,1
puķu,1
apskaita,1
siena,1
nelasa,1
manām,1
piktu,1
viņš,1
iemantos,1
